Numero parfum,Prix,Genre,Format,Description
Cod: 018,35,H,70 ml,"Le parfum pour l'homme qui dit des mots qui comptent,sûr de ses choix et de ses sentiments ; une essence pleine d'émotions, inoubliable au charme unique.

Pyramide olfactive
Notes de tête: Armoise, Bergamote, Bigarade, Bouleau, Carvi, Coriandre, Mandarine, Néroli
Notes de cœur: Cannelle, Cardamome, Genévrier, Gingembre, Iris, Jasmin, Poivre, Racine d'iris
Notes de fond: Ambre, Cèdre, Cuir, Mousse de chêne, Thé, Vétiver"
Cod: 016,35,H,70ml + 15ml,"L'équilibre parfait entre virilité et sensualité. Un classique réinventé grâce à l'association de la lavande et de notes vanillées sexy. C'est un parfum magnétique et séduisant, unique, moderne, doux, construit sur des contrastes et absolument irrésistible.

DES AVANTAGES EXCLUSIFS
Pour chaque parfum de 70 ml acheté, tu reçois gratuitement une recharge de parfum de 15 ml de la même fragrance.

Pyramide olfactive
Notes de tête: Armoise, Bergamote, Cardamome, Lavande, Menthe
Notes de cœur: Cannelle, Carvi, Fleur d'oranger
Notes de fond: Ambre, Bois de santal, Cèdre, fève tonka, Vanille"
"Cod.: 038",35,H,70ml + 15ml,"C'est le parfum d'un homme qui refuse de se conformer à des modèles préétablis et qui s'affranchit de toutes les conventions. Sa composition révèle un esprit masculin qui décide de son propre destin avec indépendance et détermination. Une personnalité forte et inattendue.

DES AVANTAGES EXCLUSIFS
Pour chaque parfum de 70 ml acheté, tu reçois gratuitement une recharge de parfum de 15 ml de la même fragrance.

Pyramide olfactive
Notes de tête: Citron, Menthe, Pamplemousse, Poivre rose
Notes de cœur: Gingembre, Iso E Super, Jasmin, Noix de muscade
Notes de fond: Bois de santal, Cèdre, Ciste, Encens, Musc, Patchouli, Vétiver"
"Cod.: 037",30,H,100ml,"Un parfum qui redéfinit l'univers olfactif masculin. C'est le parfum d'un homme sophistiqué, déterminé et en même temps créatif. Les notes fraîches et pétillantes du parfum modernisent et personnalisent l'homme qui le porte.

Pyramide olfactive
Notes de tête: Bergamote, Feuille de violette, Lotus, Poire
Notes de cœur: Ambre, Bois de cachemire, Bois de santal, Huile essentielle de cypriol, Notes boisées, Vétiver
Notes de fond: Benjoin, fève tonka, Miel, Musc"
"Cod.: 3205",18,H, 30ml,"Les essences fruitées de pommes fraîches et d'agrumes dans les notes de tête soulignent parfaitement la personnalité unique de chaque homme. La sensualité est renforcée par les accords de clou de girofle, jasmin et géranium et intensifié dans le fond par les notes de Sapin, bois de Cèdre et Patchouli.

Pyramide olfactive
Notes de tête: Basilic, Lavande, Menthe, Pamplemousse, Pomme
Notes de cœur: Géranium, Jasmin, Sauge, Œillet
Notes de fond: Bois de cedrat, Patchouli, Sapin"
Cod.: 056,"€35,00",F,70 + 15ml,"Il révèle de nouvelles sensations, séduisant par son mystère et sa polyvalence, symbole d'un scandale intemporel. Une forte composition orientale charismatique se prête à une femme innocente et sensuelle à la fois.

 

DES AVANTAGES EXCLUSIFS
Pour chaque parfum de 70 ml acheté, tu reçois gratuitement une recharge de parfum de 15 ml de la même fragrance.

Pyramide olfactive
Notes de tête: Mandarine, Safran, Thym
Notes de cœur: Lys, Orchidée, Ylang-ylang
Notes de fond: fève tonka, Mousse de chêne, Palissandre du Brésil, Vanille"
"Cod.: 055
",35,F,70 + 15ml,"Un parfum inspiré par une femme unique et déterminée, sûre d'elle, libre, glamour, constamment à la recherche de nouvelles émotions. Un parfum adrénaline, noir comme le café, capable de créer une dépendance avec l'exquise féminité des fleurs blanches et de la vanille.

 

DES AVANTAGES EXCLUSIFS
Pour chaque parfum de 70 ml acheté, tu reçois gratuitement une recharge de parfum de 15 ml de la même fragrance.

Pyramide olfactive
Notes de tête: Fleur d'oranger, Poire, Poivre rose
Notes de cœur: Amande, Café, Jasmin, Réglisse
Notes de fond: Bois de cachemire, Cèdre, Patchouli, Vanille"
"Cod.: 049",35,F,70 + 15ml,"Frais et féminin, comme les fleurs blanches de la Sicile. Ce parfum a l'odeur des plus beaux souvenirs : un amour innocent, frais et pur, destiné à rester jeune pour toujours. En même temps, c'est un parfum absolument contemporain : il a été créé en combinant des essences jamais utilisées auparavant, plus traditionnelles.

 

DES AVANTAGES EXCLUSIFS
Pour chaque parfum de 70 ml acheté, tu reçois gratuitement une recharge de parfum de 15 ml de la même fragrance.

Pyramide olfactive
Notes de tête: Fleur de papayer, Néroli
Notes de cœur: Amaryllis, Narcissus, Nénuphar
Notes de fond: Bois de cachemire, Musc"
"Cod.: 047",30,F,100ml,"Somptueux mais excentrique, glamour mais ironique, ce parfum est dédié à la femme qui sait être sexy et sûre d'elle, qui marche la tête haute. Un parfum inspiré par la somptuosité des robes du soir.

Pyramide olfactive
Notes de tête: Cardamome, Gingembre, Poivre
Notes de cœur: Fleur d'oranger, Gardénia, Noix de Coco, Pivoine
Notes de fond: Ambre, Bois de santal, Musc"
"Cod.: 353
",18,F,30ml,"Un parfum qui révèle le mystère de l'attraction. Un parfum captivant, avec des notes florales, se combine avec un cœur sensuel de Musc Ambre et rencontre l'élégance naturelle des bois. Son parfum évoque la sensualité de la peau d'une femme.

Pyramide olfactive
Notes de tête: Gardénia, Rose bulgare
Notes de cœur: Musc
Notes de fond: Bois de cedrat, Vétiver"